region,zindex-1996,zindex-1997,zindex-1998,zindex-1999,zindex-2000,zindex-2001,zindex-2002,zindex-2003,zindex-2004,zindex-2005,zindex-2006,zindex-2007,zindex-2008,zindex-2009,zindex-2010,zindex-2011,zindex-2012,zindex-2013,zindex-2014,zindex-2015,zindex-2016,zindex-2017,zindex-2018
Alabama,,,-0.32673383,-0.262758614,-1.99596854,-1.697063267,-1.439769696,-1.040353988,-0.755673788,-1.469362662,-0.86957667,-1.763503856,-1.657614647,-2.622826031,-1.642140218,-2.107639948,-1.363739761,-2.070271177,-1.997157799,-1.856311107,-1.357223917,-0.920035117,-1.063466852
Alaska,,,2.962582543,1.970850803,2.388791862,1.304463969,2.256439464,2.358565943,1.603157219,0.859527921,0.002275321,-0.391473832,0.09721643,-0.765548532,-0.392935497,0.710227884,0.440939895,1.066252305,0.705588172,0.654630521,-0.358472674,0.33969537,0.844599409
Arizona,,,1.836802184,0.30269515,1.413234764,0.379908871,-0.033134752,-0.036717294,0.020530436,0.697925139,1.098414707,0.309298295,0.519308852,0.768991741,0.058755644,-0.120733388,-0.020041171,-0.424626007,-0.267964662,-0.252309724,0.878922117,1.29149998,0.112478994
Arkansas,,,-0.041924421,0.079209433,0.386587373,0.713181202,-0.006072388,-0.076655372,-0.471476839,0.707358263,1.18350645,0.760063969,0.453535162,-0.454715216,-1.113212277,-1.048847599,0.085233348,-0.821096764,-1.187479953,-0.675293632,-0.641777926,-0.449229903,-0.130671791
California,,,0.344856644,0.607406143,0.94981234,0.306037321,0.097417628,0.927321215,1.562084551,1.106743859,1.19386771,0.559219294,0.62983624,0.796420189,0.049386396,1.110124995,1.976857297,2.074797503,1.045994996,1.383401869,1.988788789,2.85819971,2.775524393
Colorado,,,2.181596542,1.524847603,2.089952912,1.688634913,1.066637648,1.258630349,1.064547198,1.761021074,1.63418414,1.288197954,0.635846728,-0.571406277,-0.116700747,0.126740069,1.320358798,0.785293431,0.980815579,0.69288972,1.076153867,0.955576999,1.133270413
Connecticut,,,-1.287692924,-0.019290396,0.306483086,-0.018061569,-0.343882936,-1.43627531,-1.631478804,-1.277515096,-0.430633715,-0.726513876,-0.462748481,-1.566638936,-3.237741485,0.349933686,-0.001912535,-0.589096289,-0.2627302,-0.245894245,-0.950075077,-1.009620722,-1.144102455
Delaware,,,0.1348353,-0.37870459,0.498630568,1.1394261,-1.44257811,-0.592704243,-0.450106887,-1.112704262,-1.345531807,-3.112619623,-1.433799196,-1.569975387,-1.794098851,-0.781583488,-1.110035987,0.06010134,0.97914521,-0.249513632,-1.161606323,-0.935398226,0.125448129
District of Columbia,,,0.08830934,-1.757205401,3.704868404,-1.205799684,-0.948307015,-0.320594852,0.112892429,-1.39946321,-0.617506121,0.502362848,0.736419918,-0.045050839,0.734683503,-0.61598424,0.829598277,0.064018557,-0.429179514,-1.80341,-0.957650727,-0.681400644,0.175444526
Florida,,,0.484391234,2.129868545,1.727510748,1.96128544,0.100417197,0.076420767,0.209961715,0.446386984,0.946807403,0.07011462,0.253568344,-1.122785401,0.108748637,0.162962913,0.511699486,0.323074437,0.670062857,0.824694395,1.472173944,1.713036619,2.266726796
Georgia,,,0.947064766,0.901369637,0.329533354,-0.173549111,-1.564268723,-0.626582892,0.353057622,0.631014065,1.751891014,1.618504752,1.931249301,0.474635083,0.968319534,0.033478597,-0.227896068,-1.581407879,-1.061672915,-0.528312122,0.506980998,0.373740342,1.466433935
Hawaii,,,-0.872863934,-0.430262155,0.209650082,-1.03547852,0.383466789,0.527980053,0.921710122,0.386622437,1.099965664,0.620146981,-0.100787483,-1.489908921,-1.63064467,-0.880535652,-0.556040208,0.592553356,0.492050756,0.761948721,0.077372575,-0.321004273,0.379585915
Idaho,,,1.375484592,0.529119689,1.457398703,1.712215714,0.246063501,1.044220019,1.516821259,2.889968339,2.964110146,2.146870302,0.182926785,-0.228641721,-1.074230034,-0.175137185,-0.481181923,0.418567525,0.38807731,0.783432428,0.494311784,1.017844044,1.25046528
Illinois,,,-0.267803842,0.041595531,-0.289046528,0.492604544,-0.939492493,-0.765322446,-1.00880133,-1.281127274,-1.080905789,-1.378983701,-1.691136255,-2.169328162,-1.853941061,-2.040898509,-1.638519031,-1.742532457,-0.784368052,-0.987947572,-0.753870372,-1.364708543,-0.752843108
Indiana,,,-0.333500126,0.665557361,0.443491406,0.329374231,-0.680221963,-0.401258104,-1.158734242,-1.015778209,-0.82081477,-1.323696924,-1.434062919,-1.398750477,-1.141626308,-1.259723766,-1.983981262,-2.358973024,-1.671683244,-1.692200921,-1.176569787,-1.246171798,-0.821667156
